System,Element,Suggest Solution,Effect,Malware Infections,Lost Devices,Note,Source
External Website,Authentication system,SSO with MFA,0.54,-0.4,-0.12,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Authentication system,RBAC permissions,0.44,-0.21,-0.31,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Authentication system,Password rotation policy,0.48,-0.21,-0.32,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,External website security,HTTPS/TLS enforcement,0.3,-0.15,-0.19,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,External website security,WAF deployment,0.2,-0.13,-0.1,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,External website security,Secure coding review,0.36,-0.16,-0.2,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Internal website security,Local network access only,0.85,-0.47,-0.32,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Internal website security,Access logs monitoring,0.87,-0.46,-0.36,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Internal website security,MFA on internal apps,0.64,-0.43,-0.45,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
External Website,Remote access solution,VPN full tunnel,0.89,-0.62,-0.6,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
