DateTime_Full,Htl,Hdbt,Hc,Qve,ΣQx,Qxt,Qxm,Ncxs,Ncxm
2025-10-15 00:00:00,411.84,412,409,386,380,76,304,0,2
2025-10-15 01:00:00,411.83,412,409,372,380,76,304,0,2
2025-10-15 02:00:00,411.81,412,409,357,380,76,304,0,2
2025-10-15 03:00:00,411.8,412,409,370,378,76,302,0,2
2025-10-15 04:00:00,411.79,412,409,372,380,76,304,0,2
2025-10-15 05:00:00,411.79,412,409,386,380,76,304,0,2
2025-10-15 06:00:00,411.78,412,409,376,384,76,308,0,2
2025-10-15 07:00:00,411.77,412,409,364,372,76,296,0,2
2025-10-15 08:00:00,411.76,412,409,372,380,76,304,0,2
2025-10-15 09:00:00,411.76,412,409,386,380,76,304,0,2
2025-10-15 10:00:00,411.75,412,409,372,380,76,304,0,2
2025-10-15 11:00:00,411.74,412,409,374,382,76,306,0,2
2025-10-15 12:00:00,411.74,412,409,374,368,76,292,0,2
2025-10-15 13:00:00,411.75,412,409,389,368,76,292,0,2
2025-10-15 14:00:00,411.74,412,409,376,384,76,308,0,2
2025-10-15 15:00:00,411.73,412,409,372,380,76,304,0,2
2025-10-15 16:00:00,411.71,412,409,361,384,76,308,0,2
2025-10-15 17:00:00,411.71,412,409,370,364,66,298,0,1
2025-10-15 18:00:00,411.73,412,409,372,336,38,298,0,1
2025-10-15 19:00:00,411.76,412,409,380,330,38,292,0,1
2025-10-15 20:00:00,411.81,412,409,401,322,38,284,0,1
2025-10-15 21:00:00,411.86,412,409,413,334,38,296,0,1
2025-10-15 22:00:00,411.9,412,409,400,334,38,296,0,1
2025-10-15 23:00:00,411.9,412,409,375,370,76,294,0,2
2025-10-16 00:00:00,411.91,412,409,389,368,76,292,0,2
2025-10-16 01:00:00,411.91,412,409,376,370,76,294,0,2
2025-10-16 02:00:00,411.91,412,409,388,382,76,306,0,2
2025-10-16 03:00:00,411.9,412,409,368,376,76,300,0,2
2025-10-16 04:00:00,411.88,412,409,355,378,76,302,0,2
2025-10-16 05:00:00,411.87,412,409,374,382,76,306,0,2
2025-10-16 06:00:00,411.86,412,409,374,382,76,306,0,2
2025-10-16 07:00:00,411.85,412,409,376,384,76,308,0,2
2025-10-16 08:00:00,411.83,412,409,359,382,76,306,0,2
2025-10-16 09:00:00,411.81,412,409,362,385,76,309,0,2
2025-10-16 10:00:00,411.8,412,409,376,384,76,308,0,2
2025-10-16 11:00:00,411.79,412,409,372,380,76,304,0,2
2025-10-16 12:00:00,411.78,412,409,372,380,76,304,0,2
2025-10-16 13:00:00,411.77,412,409,376,384,76,308,0,2
2025-10-16 14:00:00,411.76,412,409,374,382,76,306,0,2
2025-10-16 15:00:00,411.75,412,409,374,382,76,306,0,2
2025-10-16 16:00:00,411.74,412,409,374,382,76,306,0,2
2025-10-16 17:00:00,411.73,412,409,376,384,76,308,0,2
2025-10-16 18:00:00,411.72,412,409,376,384,76,308,0,2
2025-10-16 19:00:00,411.71,412,409,366,374,76,298,0,2
2025-10-16 20:00:00,411.71,412,409,374,368,76,292,0,2
2025-10-16 21:00:00,411.71,412,409,380,374,76,298,0,2
2025-10-16 22:00:00,411.72,412,409,381,360,76,284,0,2
2025-10-16 23:00:00,411.73,412,409,387,366,76,290,0,2
2025-10-17 00:00:00,411.73,412,409,378,372,76,296,0,2
2025-10-17 01:00:00,411.72,412,409,366,374,76,298,0,2
2025-10-17 02:00:00,411.71,412,409,370,378,76,302,0,2
2025-10-17 03:00:00,411.7,412,409,370,378,76,302,0,2
