DateTime_Full,Htl,Hdbt,Hc,Qve,ΣQx,Qxt,Qxm,Ncxs,Ncxm
2025-10-15 00:00:00,270.5,272,268,547,552,144,408,0,4
2025-10-15 01:00:00,270.49,272,268,536,552,144,408,0,4
2025-10-15 02:00:00,270.49,272,268,524,552,144,408,0,4
2025-10-15 03:00:00,270.47,272,268,496,552,144,408,0,4
2025-10-15 04:00:00,270.47,272,268,524,552,144,408,0,4
2025-10-15 05:00:00,270.46,272,268,496,552,144,408,0,4
2025-10-15 06:00:00,270.45,272,268,501,543,135,408,0,3
2025-10-15 07:00:00,270.44,272,268,507,516,108,408,0,3
2025-10-15 08:00:00,270.44,272,268,502,516,108,408,0,3
2025-10-15 09:00:00,270.45,272,268,539,516,108,408,0,3
2025-10-15 10:00:00,270.45,272,268,521,516,108,408,0,3
2025-10-15 11:00:00,270.45,272,268,516,516,108,408,0,3
2025-10-15 12:00:00,270.45,272,268,507,516,108,408,0,3
2025-10-15 13:00:00,270.44,272,268,511,516,108,408,0,3
2025-10-15 14:00:00,270.44,272,268,507,516,108,408,0,3
2025-10-15 15:00:00,270.44,272,268,497,516,108,408,0,3
2025-10-15 16:00:00,270.43,272,268,479,507,99,408,0,2
2025-10-15 17:00:00,270.44,272,268,503,480,72,408,0,2
2025-10-15 18:00:00,270.45,272,268,517,480,72,408,0,2
2025-10-15 19:00:00,270.45,272,268,508,480,72,408,0,2
2025-10-15 20:00:00,270.46,272,268,508,480,72,408,0,2
2025-10-15 21:00:00,270.46,272,268,489,480,72,408,0,2
2025-10-15 22:00:00,270.45,272,268,443,480,72,408,0,2
2025-10-15 23:00:00,270.44,272,268,415,480,72,408,0,2
2025-10-16 00:00:00,270.43,272,268,461,480,72,408,0,2
2025-10-16 01:00:00,270.42,272,268,434,480,72,408,0,2
2025-10-16 02:00:00,270.41,272,268,424,480,72,408,0,2
2025-10-16 03:00:00,270.41,272,268,444,453,45,408,0,1
2025-10-16 04:00:00,270.42,272,268,472,444,36,408,0,1
2025-10-16 05:00:00,270.43,272,268,500,444,36,408,0,1
2025-10-16 06:00:00,270.44,272,268,518,444,36,408,0,1
2025-10-16 07:00:00,270.46,272,268,500,444,36,408,0,1
2025-10-16 08:00:00,270.47,272,268,500,444,36,408,0,1
2025-10-16 09:00:00,270.48,272,268,527,453,45,408,0,2
2025-10-16 10:00:00,270.49,272,268,507,484,72,412,0,2
2025-10-16 11:00:00,270.5,272,268,521,484,72,412,0,2
2025-10-16 12:00:00,270.5,272,268,513,502,90,412,0,3
2025-10-16 13:00:00,270.5,272,268,518,520,108,412,0,3
2025-10-16 14:00:00,270.5,272,268,504,520,108,412,0,3
2025-10-16 15:00:00,270.48,272,268,471,520,108,412,0,3
2025-10-16 16:00:00,270.48,272,268,492,520,108,412,0,3
2025-10-16 17:00:00,270.49,272,268,571,520,108,412,0,3
2025-10-16 18:00:00,270.5,272,268,548,520,108,412,0,3
2025-10-16 19:00:00,270.5,272,268,525,520,108,412,0,3
2025-10-16 20:00:00,270.49,272,268,483,520,108,412,0,3
2025-10-16 21:00:00,270.48,272,268,483,520,108,412,0,3
2025-10-16 22:00:00,270.47,272,268,472,518,108,410,0,3
2025-10-16 23:00:00,270.47,272,268,507,516,108,408,0,3
2025-10-17 00:00:00,270.46,272,268,460,516,108,408,0,3
2025-10-17 01:00:00,270.45,272,268,470,516,108,408,0,3
2025-10-17 02:00:00,270.44,272,268,470,516,108,408,0,3
