DateTime_Full,Htl,Hdbt,Hc,Qve,ΣQx,Qxt,Qxm,Ncxs,Ncxm
2025-10-01 00:00:00,372.38,380,340,113.64,0,0,0,0,0
2025-10-01 01:00:00,372.44,380,340,136.37,0,0,0,0,0
2025-10-01 02:00:00,372.52,380,340,181.82,0,0,0,0,0
2025-10-01 03:00:00,372.6,380,340,181.82,0,0,0,0,0
2025-10-01 04:00:00,372.67,380,340,159.09,0,0,0,0,0
2025-10-01 05:00:00,372.74,380,340,159.09,0,0,0,0,0
2025-10-01 06:00:00,372.8,380,340,136.37,0,0,0,0,0
2025-10-01 07:00:00,372.86,380,340,136.37,0,0,0,0,0
2025-10-01 08:00:00,372.91,380,340,113.64,0,0,0,0,0
2025-10-01 09:00:00,372.96,380,340,113.64,0,0,0,0,0
2025-10-01 10:00:00,373,380,340,90.91,0,0,0,0,0
2025-10-01 11:00:00,373.04,380,340,90.91,0,0,0,0,0
2025-10-01 12:00:00,373.08,380,340,90.91,0,0,0,0,0
2025-10-01 13:00:00,373.12,380,340,90.91,0,0,0,0,0
2025-10-01 14:00:00,373.15,380,340,107.18,39,0,39,0,0
2025-10-01 15:00:00,373.16,380,340,100.73,78,0,78,0,0
2025-10-01 16:00:00,373.16,380,340,78,78,0,78,0,0
2025-10-01 17:00:00,373.17,380,340,100.73,78,0,78,0,0
2025-10-01 18:00:00,373.18,380,340,100.73,78,0,78,0,0
2025-10-01 19:00:00,373.19,380,340,100.73,78,0,78,0,0
2025-10-01 20:00:00,373.2,380,340,100.73,78,0,78,0,0
2025-10-01 21:00:00,373.21,380,340,100.73,78,0,78,0,0
2025-10-01 22:00:00,373.21,380,340,78,78,0,78,0,0
2025-10-01 23:00:00,373.22,380,340,100.73,78,0,78,0,0
2025-10-02 00:00:00,373.24,380,340,72.96,27.5,0,27.5,0,0
2025-10-02 01:00:00,373.28,380,340,104.41,13.5,0,13.5,0,0
2025-10-02 02:00:00,373.32,380,340,90.91,0,0,0,0,0
2025-10-02 03:00:00,373.36,380,340,90.91,0,0,0,0,0
2025-10-02 04:00:00,373.4,380,340,90.91,0,0,0,0,0
2025-10-02 05:00:00,373.44,380,340,90.91,0,0,0,0,0
2025-10-02 06:00:00,373.48,380,340,90.91,0,0,0,0,0
2025-10-02 07:00:00,373.51,380,340,68.18,0,0,0,0,0
2025-10-02 08:00:00,373.55,380,340,90.91,0,0,0,0,0
2025-10-02 09:00:00,373.58,380,340,68.18,0,0,0,0,0
2025-10-02 10:00:00,373.62,380,340,90.91,0,0,0,0,0
2025-10-02 11:00:00,373.65,380,340,68.18,0,0,0,0,0
2025-10-02 12:00:00,373.69,380,340,90.91,0,0,0,0,0
2025-10-02 13:00:00,373.72,380,340,68.18,0,0,0,0,0
2025-10-02 14:00:00,373.75,380,340,77.18,9,0,9,0,0
2025-10-02 15:00:00,373.76,380,340,71.13,48.4,0,48.4,0,0
2025-10-02 16:00:00,373.76,380,340,63.6,63.6,0,63.6,0,0
2025-10-02 17:00:00,373.76,380,340,76.7,76.7,0,76.7,0,0
2025-10-02 18:00:00,373.76,380,340,78,78,0,78,0,0
2025-10-02 19:00:00,373.76,380,340,78,78,0,78,0,0
2025-10-02 20:00:00,373.76,380,340,78,78,0,78,0,0
2025-10-02 21:00:00,373.76,380,340,78,78,0,78,0,0
2025-10-02 22:00:00,373.76,380,340,78,78,0,78,0,0
