DateTime_Full,Htl,Hdbt,Hc,Qve,ΣQx,Qxt,Qxm,Ncxs,Ncxm
2025-10-01 00:00:00,152.41,175,140,114.36,0,0,0,0,0
2025-10-01 01:00:00,152.46,175,140,186.58,0,0,0,0,0
2025-10-01 02:00:00,152.52,175,140,222.7,0,0,0,0,0
2025-10-01 03:00:00,152.55,175,140,114.09,0,0,0,0,0
2025-10-01 04:00:00,152.59,175,140,150.48,0,0,0,0,0
2025-10-01 05:00:00,152.63,175,140,150.2,0,0,0,0,0
2025-10-01 06:00:00,152.66,175,140,114.37,0,0,0,0,0
2025-10-01 07:00:00,152.69,175,140,114.09,0,0,0,0,0
2025-10-01 08:00:00,152.72,175,140,114.37,0,0,0,0,0
2025-10-01 09:00:00,152.74,175,140,77.99,0,0,0,0,0
2025-10-01 10:00:00,152.77,175,140,114.38,0,0,0,0,0
2025-10-01 11:00:00,152.8,175,140,114.1,0,0,0,0,0
2025-10-01 12:00:00,152.84,175,140,150.49,0,0,0,0,0
2025-10-01 13:00:00,152.87,175,140,114.1,0,0,0,0,0
2025-10-01 14:00:00,152.9,175,140,114.38,0,0,0,0,0
2025-10-01 15:00:00,152.9,175,140,92.87,87.1,0,87.1,0,0
2025-10-01 16:00:00,152.86,175,140,62.05,201,0,201,0,0
2025-10-01 17:00:00,152.82,175,140,62.05,201,0,201,0,0
2025-10-01 18:00:00,152.8,175,140,134.55,201,0,201,0,0
2025-10-01 19:00:00,152.78,175,140,134.54,201,0,201,0,0
2025-10-01 20:00:00,152.75,175,140,98.15,201,0,201,0,0
2025-10-01 21:00:00,152.71,175,140,62.32,201,0,201,0,0
2025-10-01 22:00:00,152.69,175,140,134.26,201,0,201,0,0
2025-10-01 23:00:00,152.67,175,140,124.94,191.4,0,191.4,0,0
2025-10-02 00:00:00,152.67,175,140,101.64,95.88,0,95.88,0,0
2025-10-02 01:00:00,152.69,175,140,128.13,50.15,0,50.15,0,0
2025-10-02 02:00:00,152.73,175,140,150.48,0,0,0,0,0
2025-10-02 03:00:00,152.76,175,140,114.1,0,0,0,0,0
2025-10-02 04:00:00,152.78,175,140,78.27,0,0,0,0,0
2025-10-02 05:00:00,152.8,175,140,77.99,0,0,0,0,0
2025-10-02 06:00:00,152.82,175,140,77.99,0,0,0,0,0
2025-10-02 07:00:00,152.84,175,140,78.27,0,0,0,0,0
2025-10-02 08:00:00,152.86,175,140,77.99,0,0,0,0,0
2025-10-02 09:00:00,152.89,175,140,114.1,0,0,0,0,0
2025-10-02 10:00:00,152.93,175,140,150.49,0,0,0,0,0
2025-10-02 11:00:00,152.97,175,140,150.5,0,0,0,0,0
2025-10-02 12:00:00,153,175,140,114.11,0,0,0,0,0
2025-10-02 13:00:00,153.03,175,140,114.39,0,0,0,0,0
2025-10-02 14:00:00,153.04,175,140,103.84,61.95,0,61.95,0,0
2025-10-02 15:00:00,153.01,175,140,91.42,194.25,0,194.25,0,0
2025-10-02 16:00:00,152.97,175,140,62.33,201,0,201,0,0
2025-10-02 17:00:00,152.94,175,140,98.16,201,0,201,0,0
2025-10-02 18:00:00,152.91,175,140,98.44,201,0,201,0,0
2025-10-02 19:00:00,152.87,175,140,62.05,201,0,201,0,0
2025-10-02 20:00:00,152.84,175,140,98.44,201,0,201,0,0
2025-10-02 21:00:00,152.81,175,140,98.16,201,0,201,0,0
2025-10-02 22:00:00,152.77,175,140,62.32,201,0,201,0,0
2025-10-02 23:00:00,152.79,175,140,101.44,23.45,0,23.45,0,0
2025-10-03 00:00:00,152.81,175,140,77.99,0,0,0,0,0
2025-10-03 01:00:00,152.83,175,140,78.27,0,0,0,0,0
2025-10-03 02:00:00,152.86,175,140,114.1,0,0,0,0,0
2025-10-03 03:00:00,152.9,175,140,150.49,0,0,0,0,0
2025-10-03 04:00:00,152.93,175,140,114.11,0,0,0,0,0
2025-10-03 05:00:00,152.95,175,140,77.93,0,0,0,0,0
2025-10-03 06:00:00,152.98,175,140,114.32,0,0,0,0,0
2025-10-03 07:00:00,153,175,140,77.93,0,0,0,0,0
2025-10-03 08:00:00,153.03,175,140,114.32,0,0,0,0,0
2025-10-03 09:00:00,153.04,175,140,41.83,0,0,0,0,0
2025-10-03 10:00:00,153.05,175,140,41.83,0,0,0,0,0
2025-10-03 11:00:00,153.07,175,140,77.94,0,0,0,0,0
2025-10-03 12:00:00,153.11,175,140,150.44,0,0,0,0,0
2025-10-03 13:00:00,153.14,175,140,114.05,0,0,0,0,0
2025-10-03 14:00:00,153.17,175,140,114.33,0,0,0,0,0
2025-10-03 15:00:00,153.17,175,140,62.1,56.38,0,56.38,0,0
2025-10-03 16:00:00,153.15,175,140,62.85,129.35,0,129.35,0,0
2025-10-03 17:00:00,153.12,175,140,96.11,199,0,199,0,0
2025-10-03 18:00:00,153.08,175,140,59.99,199,0,199,0,0
2025-10-03 19:00:00,153.04,175,140,60.27,199,0,199,0,0
2025-10-03 20:00:00,153.02,175,140,132.49,199,0,199,0,0
2025-10-03 21:00:00,153,175,140,132.21,199,0,199,0,0
2025-10-03 22:00:00,152.97,175,140,96.38,199,0,199,0,0
