DateTime_Full,DateTime_Short,Level1,Level2,Level3,FlowIn,FlowOut,Storage,Release,Spillway,Gate
11/1/2025 0:00,1/11/2025 0:00,428.98,429,427,62.47,60,12,48,0,1
11/1/2025 1:00,1/11/2025 1:00,428.98,429,427,61.85,60,12,48,0,1
11/1/2025 2:00,1/11/2025 2:00,428.98,429,427,62.39,60,12,48,0,1
11/1/2025 3:00,1/11/2025 3:00,428.98,429,427,60.74,60,12,48,0,1
11/1/2025 4:00,1/11/2025 4:00,428.98,429,427,61.55,60,12,48,0,1
11/1/2025 5:00,1/11/2025 5:00,428.98,429,427,60.83,60,12,48,0,1
11/1/2025 6:00,1/11/2025 6:00,428.99,429,427,68.72,60,12,48,0,1
11/1/2025 7:00,1/11/2025 7:00,428.99,429,427,64.59,60,12,48,0,1
11/1/2025 8:00,1/11/2025 8:00,428.99,429,427,65.39,78,30,48,0,1
11/1/2025 9:00,1/11/2025 9:00,428.98,429,427,66.7,78,30,48,0,1
11/1/2025 10:00,1/11/2025 10:00,428.98,429,427,72.6,78,30,48,0,1
11/1/2025 11:00,1/11/2025 11:00,428.98,429,427,70.02,78,30,48,0,1
11/1/2025 12:00,1/11/2025 12:00,428.97,429,427,68.18,78,30,48,0,1
11/1/2025 13:00,1/11/2025 13:00,428.97,429,427,73.58,60,12,48,0,1
11/1/2025 14:00,1/11/2025 14:00,428.97,429,427,65.04,60,12,48,0,1
11/1/2025 15:00,1/11/2025 15:00,428.97,429,427,63.83,60,12,48,0,1
11/1/2025 16:00,1/11/2025 16:00,428.97,429,427,60.84,60,12,48,0,1
11/1/2025 17:00,1/11/2025 17:00,428.97,429,427,61.25,60,12,48,0,1
11/1/2025 18:00,1/11/2025 18:00,428.97,429,427,60.77,60,12,48,0,1
11/1/2025 19:00,1/11/2025 19:00,428.97,429,427,62.12,60,12,48,0,1
11/1/2025 20:00,1/11/2025 20:00,428.97,429,427,61.95,60,12,48,0,1
11/1/2025 21:00,1/11/2025 21:00,428.98,429,427,68.74,60,12,48,0,1
11/1/2025 22:00,1/11/2025 22:00,428.98,429,427,65.32,60,12,48,0,1
11/1/2025 23:00,1/11/2025 23:00,428.98,429,427,62.97,60,12,48,0,1
11/2/2025 0:00,2/11/2025 0:00,428.98,429,427,63.48,60,12,48,0,1
11/2/2025 1:00,2/11/2025 1:00,428.98,429,427,62.25,60,12,48,0,1
11/2/2025 2:00,2/11/2025 2:00,428.98,429,427,60.73,60,12,48,0,1
11/2/2025 3:00,2/11/2025 3:00,428.98,429,427,61.59,60,12,48,0,1
11/2/2025 4:00,2/11/2025 4:00,428.98,429,427,60.82,60,12,48,0,1
11/2/2025 5:00,2/11/2025 5:00,428.98,429,427,61.47,60,12,48,0,1
11/2/2025 6:00,2/11/2025 6:00,428.98,429,427,62.35,60,12,48,0,1
11/2/2025 7:00,2/11/2025 7:00,428.98,429,427,61.78,60,12,48,0,1
11/2/2025 8:00,2/11/2025 8:00,428.98,429,427,60.63,60,12,48,0,1
11/2/2025 9:00,2/11/2025 9:00,428.98,429,427,62.49,60,12,48,0,1
11/2/2025 10:00,2/11/2025 10:00,428.99,429,427,68.08,60,12,48,0,1
11/2/2025 11:00,2/11/2025 11:00,428.99,429,427,61.75,60,12,48,0,1
11/2/2025 12:00,2/11/2025 12:00,428.99,429,427,60.5,60,12,48,0,1
11/2/2025 13:00,2/11/2025 13:00,428.99,429,427,61.22,60,12,48,0,1
11/2/2025 14:00,2/11/2025 14:00,428.99,429,427,61.39,60,12,48,0,1
11/2/2025 15:00,2/11/2025 15:00,428.99,429,427,61.2,60,12,48,0,1
11/2/2025 16:00,2/11/2025 16:00,428.99,429,427,60.45,60,12,48,0,1
11/2/2025 17:00,2/11/2025 17:00,428.99,429,427,60.34,60,12,48,0,1
11/2/2025 18:00,2/11/2025 18:00,428.99,429,427,59.79,60,12,48,0,1
11/2/2025 19:00,2/11/2025 19:00,428.99,429,427,59.68,60,12,48,0,1
11/2/2025 20:00,2/11/2025 20:00,428.99,429,427,61.04,60,12,48,0,1
11/2/2025 21:00,2/11/2025 21:00,428.99,429,427,62.13,60,12,48,0,1
11/2/2025 22:00,2/11/2025 22:00,428.99,429,427,60.27,60,12,48,0,1
11/2/2025 23:00,2/11/2025 23:00,428.99,429,427,61.71,60,12,48,0,1
11/3/2025 0:00,3/11/2025 0:00,428.99,429,427,60.74,48.75,12,36.75,0,1
11/3/2025 1:00,3/11/2025 1:00,428.99,429,427,52.6,33.25,12,21.25,0,1
11/3/2025 2:00,3/11/2025 2:00,428.99,429,427,43.37,31.5,12,19.5,0,1
11/3/2025 3:00,3/11/2025 3:00,429,429,427,42.72,31.5,12,19.5,0,1
11/3/2025 4:00,3/11/2025 4:00,429,429,427,35.24,31.5,12,19.5,0,1
11/3/2025 5:00,3/11/2025 5:00,429,429,427,45.5,48.3,12,36.3,0,1
11/3/2025 6:00,3/11/2025 6:00,428.99,429,427,51.34,56.07,12,44.07,0,1
11/3/2025 7:00,3/11/2025 7:00,428.99,429,427,59.54,60,12,48,0,1
11/3/2025 8:00,3/11/2025 8:00,428.99,429,427,58.67,60,12,48,0,1
11/3/2025 9:00,3/11/2025 9:00,428.99,429,427,57.47,60,12,48,0,1
11/3/2025 10:00,3/11/2025 10:00,428.99,429,427,57.32,60,12,48,0,1
11/3/2025 11:00,3/11/2025 11:00,428.98,429,427,57.03,60,12,48,0,1
11/3/2025 12:00,3/11/2025 12:00,428.98,429,427,56.77,60,12,48,0,1
11/3/2025 13:00,3/11/2025 13:00,428.98,429,427,58.98,60,12,48,0,1
11/3/2025 14:00,3/11/2025 14:00,428.98,429,427,60.27,60,12,48,0,1
11/3/2025 15:00,3/11/2025 15:00,428.98,429,427,60.5,60,12,48,0,1
11/3/2025 16:00,3/11/2025 16:00,428.98,429,427,60.97,60,12,48,0,1
11/3/2025 17:00,3/11/2025 17:00,428.98,429,427,61.17,60,12,48,0,1
