DateTime_Full,Htl,Hdbt,Hc,Qve,ΣQx,Qxt,Qxm,Ncxs,Ncxm
10/15/2025 0:00,428.94,429,427,50.84,4,4,0,0,1
10/15/2025 1:00,428.96,429,427,45.72,4,4,0,0,1
10/15/2025 2:00,428.97,429,427,32.47,4,4,0,0,1
10/15/2025 3:00,428.98,429,427,32.61,4,4,0,0,1
10/15/2025 4:00,428.98,429,427,10.93,4,4,0,0,1
10/15/2025 5:00,428.98,429,427,8.43,4,4,0,0,1
10/15/2025 6:00,428.98,429,427,6.32,4,4,0,0,1
10/15/2025 7:00,428.98,429,427,5.47,4,4,0,0,1
10/15/2025 8:00,428.98,429,427,6.59,4,4,0,0,1
10/15/2025 9:00,428.98,429,427,8.32,4,4,0,0,1
10/15/2025 10:00,428.98,429,427,7.45,4,4,0,0,1
10/15/2025 11:00,428.98,429,427,6.89,4,4,0,0,1
10/15/2025 12:00,428.98,429,427,12.61,4,4,0,0,1
10/15/2025 13:00,428.98,429,427,12.75,4,4,0,0,1
10/15/2025 14:00,428.98,429,427,13.84,4,4,0,0,1
10/15/2025 15:00,428.99,429,427,45.39,7.2,4,3.2,0,1
10/15/2025 16:00,428.99,429,427,64.28,60,12,48,0,1
10/15/2025 17:00,428.99,429,427,62.46,60,12,48,0,1
10/15/2025 18:00,428.99,429,427,61.72,60,12,48,0,1
10/15/2025 19:00,428.99,429,427,63.45,60,12,48,0,1
10/15/2025 20:00,428.98,429,427,55.87,60,12,48,0,1
10/15/2025 21:00,428.98,429,427,59.32,60,12,48,0,1
10/15/2025 22:00,428.98,429,427,61.48,60,12,48,0,1
10/15/2025 23:00,428.98,429,427,62.27,60,12,48,0,1
10/16/2025 0:00,428.98,429,427,61.55,60,12,48,0,1
10/16/2025 1:00,428.98,429,427,60.89,60,12,48,0,1
10/16/2025 2:00,428.98,429,427,62.34,60,12,48,0,1
10/16/2025 3:00,428.98,429,427,61.75,60,12,48,0,1
10/16/2025 4:00,428.98,429,427,62.28,60,12,48,0,1
10/16/2025 5:00,428.98,429,427,61.69,60,12,48,0,1
10/16/2025 6:00,428.97,429,427,55.47,60,12,48,0,1
10/16/2025 7:00,428.97,429,427,58.92,60,12,48,0,1
10/16/2025 8:00,428.97,429,427,60.41,60,12,48,0,1
10/16/2025 9:00,428.97,429,427,61.36,60,12,48,0,1
10/16/2025 10:00,428.97,429,427,63.01,60,12,48,0,1
10/16/2025 11:00,428.97,429,427,62.52,60,12,48,0,1
10/16/2025 12:00,428.97,429,427,61.38,60,12,48,0,1
10/16/2025 13:00,428.97,429,427,59.47,60,12,48,0,1
10/16/2025 14:00,428.97,429,427,60.19,60,12,48,0,1
10/16/2025 15:00,428.97,429,427,63.82,60,12,48,0,1
10/16/2025 16:00,428.98,429,427,66.58,60,12,48,0,1
10/16/2025 17:00,428.98,429,427,63.24,60,12,48,0,1
10/16/2025 18:00,428.98,429,427,59.63,60,12,48,0,1
10/16/2025 19:00,428.98,429,427,58.79,60,12,48,0,1
10/16/2025 20:00,428.98,429,427,59.42,60,12,48,0,1
10/16/2025 21:00,428.98,429,427,61.83,60,12,48,0,1
10/16/2025 22:00,428.98,429,427,62.59,60,12,48,0,1
10/16/2025 23:00,428.98,429,427,61.47,60,12,48,0,1
10/17/2025 0:00,428.98,429,427,60.85,60,12,48,0,1
10/17/2025 1:00,428.98,429,427,61.39,60,12,48,0,1
10/17/2025 2:00,428.98,429,427,62.48,60,12,48,0,1
10/17/2025 3:00,428.98,429,427,61.76,60,12,48,0,1
10/17/2025 4:00,428.98,429,427,62.39,60,12,48,0,1
10/17/2025 5:00,428.97,429,427,54.87,60,12,48,0,1
10/17/2025 6:00,428.97,429,427,58.52,60,12,48,0,1
10/17/2025 7:00,428.97,429,427,60.49,60,12,48,0,1
10/17/2025 8:00,428.97,429,427,59.68,60,12,48,0,1
10/17/2025 9:00,428.97,429,427,61.33,60,12,48,0,1
