DateTime_Full,Htl,Hdbt,Hc,Qve,ΣQx,Qxt,Qxm,Ncxs,Ncxm
2025-10-15 00:00:00,504.84,515,485,8.09,0,0,0,0,0
2025-10-15 01:00:00,504.84,515,485,8.64,0,0,0,0,0
2025-10-15 02:00:00,504.85,515,485,8.58,0,0,0,0,0
2025-10-15 03:00:00,504.85,515,485,8.36,0,0,0,0,0
2025-10-15 04:00:00,504.85,515,485,8.3,0,0,0,0,0
2025-10-15 05:00:00,504.86,515,485,8.17,0,0,0,0,0
2025-10-15 06:00:00,504.86,515,485,8.12,0,0,0,0,0
2025-10-15 07:00:00,504.86,515,485,9.03,0,0,0,0,0
2025-10-15 08:00:00,504.86,515,485,9.07,0,0,0,0,0
2025-10-15 09:00:00,504.87,515,485,9.21,0,0,0,0,0
2025-10-15 10:00:00,504.87,515,485,9.2,0,0,0,0,0
2025-10-15 11:00:00,504.87,515,485,9.14,0,0,0,0,0
2025-10-15 12:00:00,504.88,515,485,8.92,0,0,0,0,0
2025-10-15 13:00:00,504.88,515,485,8.9,0,0,0,0,0
2025-10-15 14:00:00,504.88,515,485,8.67,0,0,0,0,0
2025-10-15 15:00:00,504.88,515,485,8.72,0,0,0,0,0
2025-10-15 16:00:00,504.87,515,485,8.65,10.12,0,10.12,0,0
2025-10-15 17:00:00,504.86,515,485,7.87,32,0,32,0,0
2025-10-15 18:00:00,504.85,515,485,7.85,32,0,32,0,0
2025-10-15 19:00:00,504.84,515,485,7.76,32,0,32,0,0
2025-10-15 20:00:00,504.84,515,485,7.69,32,0,32,0,0
2025-10-15 21:00:00,504.83,515,485,7.62,32,0,32,0,0
2025-10-15 22:00:00,504.82,515,485,7.58,32,0,32,0,0
2025-10-15 23:00:00,504.82,515,485,7.75,20.8,0,20.8,0,0
2025-10-16 00:00:00,504.82,515,485,8.09,0,0,0,0,0
2025-10-16 01:00:00,504.83,515,485,8.14,0,0,0,0,0
2025-10-16 02:00:00,504.83,515,485,8.18,0,0,0,0,0
2025-10-16 03:00:00,504.84,515,485,8.31,0,0,0,0,0
2025-10-16 04:00:00,504.84,515,485,8.43,0,0,0,0,0
2025-10-16 05:00:00,504.84,515,485,8.49,0,0,0,0,0
2025-10-16 06:00:00,504.85,515,485,8.65,0,0,0,0,0
2025-10-16 07:00:00,504.85,515,485,8.72,0,0,0,0,0
2025-10-16 08:00:00,504.85,515,485,8.69,0,0,0,0,0
2025-10-16 09:00:00,504.85,515,485,8.64,0,0,0,0,0
2025-10-16 10:00:00,504.86,515,485,8.58,0,0,0,0,0
2025-10-16 11:00:00,504.86,515,485,8.53,0,0,0,0,0
2025-10-16 12:00:00,504.86,515,485,8.62,0,0,0,0,0
2025-10-16 13:00:00,504.86,515,485,8.57,0,0,0,0,0
2025-10-16 14:00:00,504.87,515,485,8.52,0,0,0,0,0
2025-10-16 15:00:00,504.87,515,485,8.49,15.46,0,15.46,0,0
2025-10-16 16:00:00,504.86,515,485,8.37,32,0,32,0,0
2025-10-16 17:00:00,504.85,515,485,8.34,32,0,32,0,0
2025-10-16 18:00:00,504.84,515,485,8.27,32,0,32,0,0
2025-10-16 19:00:00,504.84,515,485,8.23,32,0,32,0,0
2025-10-16 20:00:00,504.83,515,485,9.05,32,0,32,0,0
2025-10-16 21:00:00,504.82,515,485,9.17,32,0,32,0,0
2025-10-16 22:00:00,504.82,515,485,9.42,17.06,0,17.06,0,0
2025-10-16 23:00:00,504.82,515,485,9.85,0,0,0,0,0
2025-10-17 00:00:00,504.83,515,485,9.73,0,0,0,0,0
2025-10-17 01:00:00,504.83,515,485,9.52,0,0,0,0,0
2025-10-17 02:00:00,504.83,515,485,9.3,0,0,0,0,0
2025-10-17 03:00:00,504.84,515,485,9.09,0,0,0,0,0
2025-10-17 04:00:00,504.84,515,485,8.95,0,0,0,0,0
2025-10-17 05:00:00,504.84,515,485,8.87,0,0,0,0,0
2025-10-17 06:00:00,504.85,515,485,8.74,0,0,0,0,0
2025-10-17 07:00:00,504.85,515,485,8.56,0,0,0,0,0
2025-10-17 08:00:00,504.84,515,485,7.89,15.46,0,15.46,0,0
2025-10-17 09:00:00,504.84,515,485,7.84,3.2,0,3.2,0,0
2025-10-17 10:00:00,504.85,515,485,7.82,0,0,0,0,0
2025-10-17 11:00:00,504.85,515,485,7.79,0,0,0,0,0
2025-10-17 12:00:00,504.85,515,485,7.81,0,0,0,0,0
2025-10-17 13:00:00,504.85,515,485,7.76,0,0,0,0,0
2025-10-17 14:00:00,504.85,515,485,7.68,14.66,0,14.66,0,0
2025-10-17 15:00:00,504.84,515,485,7.6,23.46,0,23.46,0,0
2025-10-17 16:00:00,504.84,515,485,7.52,32,0,32,0,0
2025-10-17 17:00:00,504.83,515,485,7.44,32,0,32,0,0
2025-10-17 18:00:00,504.83,515,485,7.47,32,0,32,0,0
2025-10-17 19:00:00,504.82,515,485,7.5,32,0,32,0,0
2025-10-17 20:00:00,504.82,515,485,7.38,0,0,0,0,0
2025-10-17 21:00:00,504.82,515,485,8.01,0,0,0,0,0
2025-10-17 22:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-17 23:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 00:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 01:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 02:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 03:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 04:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 05:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 06:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 07:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 08:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 09:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 10:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 11:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 12:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 13:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 14:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 15:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 16:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 17:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 18:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 19:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 20:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 21:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 22:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-18 23:00:00,504.82,515,485,8.07,0,0,0,0,0
2025-10-19 00:00:00,504.84,515,485,7.67,0.26,0,0.26,0,0
2025-10-19 01:00:00,504.85,515,485,7.63,0,0,0,0,0
2025-10-19 02:00:00,504.85,515,485,7.58,0,0,0,0,0
2025-10-19 03:00:00,504.86,515,485,7.54,0,0,0,0,0
2025-10-19 04:00:00,504.86,515,485,7.48,0,0,0,0,0
2025-10-19 05:00:00,504.86,515,485,7.45,0,0,0,0,0
2025-10-19 06:00:00,504.86,515,485,7.39,0,0,0,0,0
2025-10-19 07:00:00,504.87,515,485,7.41,0,0,0,0,0
2025-10-19 08:00:00,504.87,515,485,7.43,0,0,0,0,0
2025-10-19 09:00:00,504.87,515,485,7.46,0,0,0,0,0
2025-10-19 10:00:00,504.87,515,485,7.48,0,0,0,0,0
2025-10-19 11:00:00,504.87,515,485,7.53,0,0,0,0,0
2025-10-19 12:00:00,504.88,515,485,7.5,0,0,0,0,0
2025-10-19 13:00:00,504.88,515,485,7.47,0,0,0,0,0
2025-10-19 14:00:00,504.88,515,485,7.49,0,0,0,0,0
2025-10-19 15:00:00,504.88,515,485,7.71,0,0,0,0,0
2025-10-19 16:00:00,504.89,515,485,7.75,0,0,0,0,0
2025-10-19 17:00:00,504.89,515,485,7.93,14.4,0,14.4,0,0
2025-10-19 18:00:00,504.88,515,485,7.9,32,0,32,0,0
2025-10-19 19:00:00,504.88,515,485,7.64,29.34,0,29.34,0,0
2025-10-19 20:00:00,504.88,515,485,7.38,0,0,0,0,0
2025-10-19 21:00:00,504.88,515,485,7.42,0,0,0,0,0
2025-10-19 22:00:00,504.88,515,485,7.25,0,0,0,0,0
2025-10-19 23:00:00,504.89,515,485,7.28,0,0,0,0,0
2025-10-20 00:00:00,504.89,515,485,7.28,0,0,0,0,0
2025-10-20 01:00:00,504.89,515,485,7.34,0,0,0,0,0
2025-10-20 02:00:00,504.89,515,485,7.37,0,0,0,0,0
2025-10-20 03:00:00,504.89,515,485,7.4,0,0,0,0,0
2025-10-20 04:00:00,504.9,515,485,7.43,0,0,0,0,0
2025-10-20 05:00:00,504.9,515,485,7.42,0,0,0,0,0
2025-10-20 06:00:00,504.9,515,485,7.49,0,0,0,0,0
2025-10-20 07:00:00,504.9,515,485,7.52,0,0,0,0,0
2025-10-20 08:00:00,504.91,515,485,8.02,0,0,0,0,0
2025-10-20 09:00:00,504.9,515,485,8.07,22.12,0,22.12,0,0
2025-10-20 10:00:00,504.9,515,485,8.21,3.46,0,3.46,0,0
2025-10-20 11:00:00,504.9,515,485,8.2,0,0,0,0,0
2025-10-20 12:00:00,504.91,515,485,8.34,0,0,0,0,0
2025-10-20 13:00:00,504.91,515,485,8.17,0,0,0,0,0
2025-10-20 14:00:00,504.91,515,485,8.01,0,0,0,0,0
2025-10-20 15:00:00,504.91,515,485,7.59,0,0,0,0,0
2025-10-20 16:00:00,504.91,515,485,7.83,11.2,0,11.2,0,0
2025-10-20 17:00:00,504.9,515,485,7.8,32,0,32,0,0
2025-10-20 18:00:00,504.89,515,485,7.57,32,0,32,0,0
2025-10-20 19:00:00,504.89,515,485,7.59,32,0,32,0,0
2025-10-20 20:00:00,504.89,515,485,7.54,16.8,0,16.8,0,0
2025-10-20 21:00:00,504.89,515,485,7.49,16,0,16,0,0
2025-10-20 22:00:00,504.88,515,485,7.44,16,0,16,0,0
2025-10-20 23:00:00,504.88,515,485,7.37,2.4,0,2.4,0,0
2025-10-21 00:00:00,504.88,515,485,7.34,0,0,0,0,0
2025-10-21 01:00:00,504.88,515,485,7.31,0,0,0,0,0
2025-10-21 02:00:00,504.88,515,485,7.28,0,0,0,0,0
2025-10-21 03:00:00,504.89,515,485,7.25,0,0,0,0,0
2025-10-21 04:00:00,504.89,515,485,7.27,0,0,0,0,0
2025-10-21 05:00:00,504.89,515,485,7.29,0,0,0,0,0
2025-10-21 06:00:00,504.89,515,485,7.32,0,0,0,0,0
2025-10-21 07:00:00,504.89,515,485,7.36,0,0,0,0,0
2025-10-21 08:00:00,504.9,515,485,7.3,0,0,0,0,0
2025-10-21 09:00:00,504.9,515,485,7.87,0,0,0,0,0
2025-10-21 10:00:00,504.9,515,485,8.03,0,0,0,0,0
2025-10-21 11:00:00,504.9,515,485,8.35,0,0,0,0,0
2025-10-21 12:00:00,504.91,515,485,8.26,0,0,0,0,0
2025-10-21 13:00:00,504.91,515,485,8.08,0,0,0,0,0
2025-10-21 14:00:00,504.91,515,485,7.94,0,0,0,0,0
2025-10-21 15:00:00,504.91,515,485,7.89,0,0,0,0,0
2025-10-21 16:00:00,504.91,515,485,7.82,15.46,0,15.46,0,0
2025-10-21 17:00:00,504.9,515,485,7.75,32,0,32,0,0
2025-10-21 18:00:00,504.9,515,485,7.69,32,0,32,0,0
2025-10-21 19:00:00,504.89,515,485,7.63,32,0,32,0,0
2025-10-21 20:00:00,504.89,515,485,7.95,11.72,0,11.72,0,0
2025-10-21 21:00:00,504.89,515,485,8.02,0,0,0,0,0
2025-10-21 22:00:00,504.89,515,485,8.17,0,0,0,0,0
2025-10-21 23:00:00,504.9,515,485,8.11,0,0,0,0,0
2025-10-22 00:00:00,504.9,515,485,8.16,0,0,0,0,0
2025-10-22 01:00:00,504.9,515,485,8.06,0,0,0,0,0
2025-10-22 02:00:00,504.9,515,485,8.03,0,0,0,0,0
2025-10-22 03:00:00,504.91,515,485,7.68,0,0,0,0,0
2025-10-22 04:00:00,504.91,515,485,7.84,0,0,0,0,0
2025-10-22 05:00:00,504.91,515,485,7.8,0,0,0,0,0
2025-10-22 06:00:00,504.91,515,485,7.53,0,0,0,0,0
2025-10-22 07:00:00,504.92,515,485,7.61,0,0,0,0,0
2025-10-22 08:00:00,504.92,515,485,7.67,0,0,0,0,0
2025-10-22 09:00:00,504.92,515,485,7.75,0,0,0,0,0
2025-10-22 10:00:00,504.92,515,485,8.02,0,0,0,0,0
2025-10-22 11:00:00,504.93,515,485,8.09,0,0,0,0,0
2025-10-22 12:00:00,504.93,515,485,8.16,0,0,0,0,0
2025-10-22 13:00:00,504.93,515,485,8.24,0,0,0,0,0
2025-10-22 14:00:00,504.93,515,485,8.31,0,0,0,0,0
2025-10-22 15:00:00,504.93,515,485,8.38,26.12,0,26.12,0,0
2025-10-22 16:00:00,504.92,515,485,8.52,32,0,32,0,0
2025-10-22 17:00:00,504.91,515,485,7.97,32,0,32,0,0
