DateTime_Full,Htl,Hdbt,Hc,Qve,ΣQx,Qxt,Qxm,Ncxs,Ncxm
2025/10/15 00:00:00,102.24,105,101,440,450,50,400,0,1
2025/10/15 01:00:00,102.24,105,101,420,290,50,240,0,1
2025/10/15 02:00:00,102.25,105,101,410,290,50,240,0,1
2025/10/15 03:00:00,102.27,105,101,420,290,50,240,0,1
2025/10/15 04:00:00,102.29,105,101,400,290,50,240,0,1
2025/10/15 05:00:00,102.3,105,101,380,290,50,240,0,1
2025/10/15 06:00:00,102.31,105,101,350,290,50,240,0,1
2025/10/15 07:00:00,102.31,105,101,360,290,50,240,0,1
2025/10/15 08:00:00,102.32,105,101,360,290,50,240,0,1
2025/10/15 09:00:00,102.32,105,101,340,290,50,240,0,1
2025/10/15 10:00:00,102.33,105,101,350,170,50,120,0,1
2025/10/15 11:00:00,102.35,105,101,330,170,50,120,0,1
2025/10/15 12:00:00,102.37,105,101,340,170,50,120,0,1
2025/10/15 13:00:00,102.39,105,101,350,170,50,120,0,1
2025/10/15 14:00:00,102.41,105,101,320,170,50,120,0,1
2025/10/15 15:00:00,102.41,105,101,300,290,50,240,0,1
2025/10/15 16:00:00,102.39,105,101,280,450,50,400,0,1
2025/10/15 17:00:00,102.37,105,101,270,450,50,400,0,1
2025/10/15 18:00:00,102.38,105,101,290,170,50,120,0,1
2025/10/15 19:00:00,102.37,105,101,300,450,50,400,0,1
2025/10/15 20:00:00,102.35,105,101,280,450,50,400,0,1
2025/10/15 21:00:00,102.33,105,101,270,450,50,400,0,1
2025/10/15 22:00:00,102.31,105,101,250,450,50,400,0,1
2025/10/15 23:00:00,102.29,105,101,270,450,50,400,0,1
2025/10/16 00:00:00,102.29,105,101,260,290,50,240,0,1
2025/10/16 01:00:00,102.29,105,101,240,290,50,240,0,1
2025/10/16 02:00:00,102.29,105,101,250,290,50,240,0,1
2025/10/16 03:00:00,102.28,105,101,260,290,50,240,0,1
2025/10/16 04:00:00,102.29,105,101,290,290,50,240,0,1
2025/10/16 05:00:00,102.3,105,101,320,290,50,240,0,1
2025/10/16 06:00:00,102.31,105,101,340,290,50,240,0,1
2025/10/16 07:00:00,102.31,105,101,330,290,50,240,0,1
2025/10/16 08:00:00,102.32,105,101,350,290,50,240,0,1
2025/10/16 09:00:00,102.31,105,101,340,450,50,400,0,1
2025/10/16 10:00:00,102.29,105,101,300,450,50,400,0,1
2025/10/16 11:00:00,102.28,105,101,330,450,50,400,0,1
2025/10/16 12:00:00,102.28,105,101,430,450,50,400,0,1
2025/10/16 13:00:00,102.28,105,101,450,450,50,400,0,1
2025/10/16 14:00:00,102.29,105,101,550,450,50,400,0,1
2025/10/16 15:00:00,102.3,105,101,630,600,200,400,0,3
2025/10/16 16:00:00,102.32,105,101,800,700,300,400,0,4
2025/10/16 17:00:00,102.42,105,101,1850,900,500,400,0,6
2025/10/16 18:00:00,102.5,105,101,1500,900,500,400,0,6
2025/10/16 19:00:00,102.56,105,101,1680,900,500,400,0,6
2025/10/16 20:00:00,102.62,105,101,1690,900,500,400,0,6
2025/10/16 21:00:00,102.66,105,101,1420,900,500,400,0,6
2025/10/16 22:00:00,102.68,105,101,1160,900,500,400,0,6
2025/10/16 23:00:00,102.7,105,101,1150,900,500,400,0,6
2025/10/17 00:00:00,102.72,105,101,1000,740,500,240,0,6
2025/10/17 01:00:00,102.75,105,101,1120,740,500,240,0,6
2025/10/17 02:00:00,102.78,105,101,950,540,300,240,0,4
2025/10/17 03:00:00,102.81,105,101,920,540,300,240,0,4
2025/10/17 04:00:00,102.84,105,101,930,540,300,240,0,4
2025/10/17 05:00:00,102.86,105,101,800,540,300,240,0,4
2025/10/17 06:00:00,102.87,105,101,820,700,300,400,0,4
2025/10/17 07:00:00,102.88,105,101,830,700,300,400,0,4
2025/10/17 08:00:00,102.89,105,101,820,700,300,400,0,4
2025/10/17 09:00:00,102.9,105,101,830,700,300,400,0,4
2025/10/17 10:00:00,102.9,105,101,720,700,300,400,0,4
2025/10/17 11:00:00,102.91,105,101,600,420,300,120,0,4
2025/10/17 12:00:00,102.93,105,101,580,300,300,0,0,4
2025/10/17 13:00:00,102.93,105,101,560,540,300,240,0,4
2025/10/17 14:00:00,102.93,105,101,680,700,300,400,0,4
2025/10/17 15:00:00,102.93,105,101,700,700,300,400,0,4
2025/10/17 16:00:00,102.93,105,101,720,700,300,400,0,4
2025/10/17 17:00:00,102.92,105,101,670,700,300,400,0,4
2025/10/17 18:00:00,102.92,105,101,680,700,300,400,0,4
2025/10/17 19:00:00,102.92,105,101,700,700,300,400,0,4
2025/10/17 20:00:00,102.92,105,101,710,700,300,400,0,4
2025/10/17 21:00:00,102.92,105,101,720,700,300,400,0,4
2025/10/17 22:00:00,102.92,105,101,730,700,300,400,0,4
2025/10/17 23:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 00:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 01:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 02:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 03:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 04:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 05:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 06:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 07:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 08:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 09:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 10:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 11:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 12:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 13:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 14:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 15:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 16:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 17:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 18:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 19:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 20:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 21:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 22:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/18 23:00:00,102.93,105,101,740,700,300,400,0,4
2025/10/19 00:00:00,102.97,105,101,530,500,100,400,0,1
2025/10/19 01:00:00,102.97,105,101,480,500,100,400,0,1
2025/10/19 02:00:00,102.97,105,101,460,500,100,400,0,1
2025/10/19 03:00:00,102.96,105,101,470,500,100,400,0,1
2025/10/19 04:00:00,102.96,105,101,460,500,100,400,0,1
2025/10/19 05:00:00,102.95,105,101,480,500,100,400,0,1
2025/10/19 06:00:00,102.95,105,101,470,500,100,400,0,1
2025/10/19 07:00:00,102.95,105,101,480,500,100,400,0,1
2025/10/19 08:00:00,102.94,105,101,470,500,100,400,0,1
2025/10/19 09:00:00,102.94,105,101,480,500,100,400,0,1
2025/10/19 10:00:00,102.93,105,101,460,500,100,400,0,1
2025/10/19 11:00:00,102.92,105,101,470,500,100,400,0,1
2025/10/19 12:00:00,102.91,105,101,460,500,100,400,0,1
2025/10/19 13:00:00,102.89,105,101,460,500,100,400,0,1
2025/10/19 14:00:00,102.87,105,101,470,500,100,400,0,1
2025/10/19 15:00:00,102.86,105,101,460,500,100,400,0,1
2025/10/19 16:00:00,102.85,105,101,460,500,100,400,0,1
2025/10/19 17:00:00,102.84,105,101,470,500,100,400,0,1
2025/10/19 18:00:00,102.84,105,101,470,500,100,400,0,1
2025/10/19 19:00:00,102.83,105,101,460,500,100,400,0,1
2025/10/19 20:00:00,102.82,105,101,460,500,100,400,0,1
2025/10/19 21:00:00,102.82,105,101,470,500,100,400,0,1
2025/10/19 22:00:00,102.81,105,101,480,500,100,400,0,1
2025/10/19 23:00:00,102.81,105,101,470,500,100,400,0,1
2025/10/20 00:00:00,102.8,105,101,460,500,100,400,0,1
2025/10/20 01:00:00,102.8,105,101,480,500,100,400,0,1
2025/10/20 02:00:00,102.79,105,101,470,500,100,400,0,1
2025/10/20 03:00:00,102.79,105,101,460,500,100,400,0,1
2025/10/20 04:00:00,102.79,105,101,460,500,100,400,0,1
2025/10/20 05:00:00,102.78,105,101,470,500,100,400,0,1
2025/10/20 06:00:00,102.78,105,101,480,500,100,400,0,1
2025/10/20 07:00:00,102.78,105,101,460,500,100,400,0,1
2025/10/20 08:00:00,102.77,105,101,470,500,100,400,0,1
2025/10/20 09:00:00,102.77,105,101,460,500,100,400,0,1
2025/10/20 10:00:00,102.76,105,101,470,500,100,400,0,1
2025/10/20 11:00:00,102.76,105,101,480,500,100,400,0,1
2025/10/20 12:00:00,102.75,105,101,470,500,100,400,0,1
2025/10/20 13:00:00,102.75,105,101,460,500,100,400,0,1
2025/10/20 14:00:00,102.74,105,101,460,500,100,400,0,1
2025/10/20 15:00:00,102.73,105,101,470,500,100,400,0,1
2025/10/20 16:00:00,102.72,105,101,480,500,100,400,0,1
2025/10/20 17:00:00,102.7,105,101,460,500,100,400,0,1
2025/10/20 18:00:00,102.69,105,101,460,500,100,400,0,1
2025/10/20 19:00:00,102.68,105,101,480,500,100,400,0,1
2025/10/20 20:00:00,102.67,105,101,470,500,100,400,0,1
2025/10/20 21:00:00,102.66,105,101,460,500,100,400,0,1
2025/10/20 22:00:00,102.65,105,101,470,500,100,400,0,1
2025/10/20 23:00:00,102.64,105,101,480,500,100,400,0,1
2025/10/21 00:00:00,102.64,105,101,470,500,100,400,0,1
